S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
5,6,20,100,49,1,100,0,150,99.5,49,0.9990909271891579,0.9990909271891579,50.86066882065009,50.86066882065009,50.761548692356264,50.8994700517082
6,6,20,100,49,1,100,0,150,99.5,49,0.9984508571335615,0.9984508571335615,51.571529944854255,51.571529944854255,56.92602663480327,51.63448938376347
1,7,20,100,49,1,100,0,150,99.5,49,0.00861420302331646,0.00861420302331646,4.643812453863527,4.643812453863527,4.582096247806911,51.313958605142496
2,7,20,100,49,1,100,0,150,99.5,49,0.44301308864784006,0.44301308864784006,27.55866328250068,27.55866328250068,22.714664813170526,51.31400676569547
3,7,20,100,49,1,100,0,150,99.5,49,0.9997102662997532,0.9997102662997532,51.3164626821901,51.3164626821901,37.68894828730003,51.32914540246348
4,7,20,100,49,1,100,0,150,99.5,49,0.9994890385334374,0.9994890385334374,51.45234753807078,51.45234753807078,48.318634928258234,51.474104808058655
5,7,20,100,49,1,100,0,150,99.5,49,0.9987550566822128,0.9987550566822128,51.84545640592445,51.84545640592445,56.00379456467639,51.89618396496895
6,7,20,100,49,1,100,0,150,99.5,49,0.997680236257181,0.997680236257181,52.54179191390499,52.54179191390499,61.75773028082446,52.63120329702423
7,7,20,100,49,1,100,0,150,99.5,49,0.9963673210602789,0.9963673210602789,53.49603602837126,53.49603602837126,66.20688376704283,53.62791721028498
1,8,20,100,49,1,100,0,150,99.5,49,0.06556497608591784,0.06556497608591784,7.590294640430644,7.590294640430644,6.920875877393029,52.49504231808348
2,8,20,100,49,1,100,0,150,99.5,49,0.611655645985979,0.611655645985979,36.0287454937482,36.0287454937482,27.505878988833633,52.495090478636456
3,8,20,100,49,1,100,0,150,99.5,49,0.999874951675452,0.999874951675452,52.504930095408895,52.504930095408895,42.6905633769153,52.51022911540447
4,8,20,100,49,1,100,0,150,99.5,49,0.99941161450183,0.99941161450183,52.631096762012056,52.631096762012056,52.99492846831235,52.655188520999644
5,8,20,100,49,1,100,0,150,99.5,49,0.9983843940936286,0.9983843940936286,53.01435325512452,53.01435325512452,60.26876802191001,53.07726767790994
6,8,20,100,49,1,100,0,150,99.5,49,0.9968389307001515,0.9968389307001515,53.69659951723328,53.69659951723328,65.6345347660714,53.81228700996522
7,8,20,100,49,1,100,0,150,99.5,49,0.9949117113363194,0.9949117113363194,54.63479730460501,54.63479730460501,69.74181568270797,54.809000923225966
8,8,20,100,49,1,100,0,150,99.5,49,0.9927417669110173,0.9927417669110173,55.75737711673486,55.75737711673486,72.9812855990524,55.990084636166955
1,9,20,100,49,1,100,0,150,99.5,49,0.12070877236456343,0.12070877236456343,11.061956022690453,11.061956022690453,9.483082985705693,53.788956907781376
2,9,20,100,49,1,100,0,150,99.5,49,0.7974336683438015,0.7974336683438015,45.234667428505,45.234667428505,31.880735010388182,53.78900506833436
3,9,20,100,49,1,100,0,150,99.5,49,0.9998898613118254,0.9998898613118254,53.79961238573675,53.79961238573675,47.010154253936335,53.804143705102376
4,9,20,100,49,1,100,0,150,99.5,49,0.9993192786178509,0.9993192786178509,53.92220851075369,53.92220851075369,56.92602663480327,53.949103110697536
5,9,20,100,49,1,100,0,150,99.5,49,0.9980030021883576,0.9980030021883576,54.29657237270811,54.29657237270811,63.79744030578555,54.371182267607836
6,9,20,100,49,1,100,0,150,99.5,49,0.995968834734454,0.995968834734454,54.9655242614324,54.9655242614324,68.80851664652293,55.10620159966311
7,9,20,100,49,1,100,0,150,99.5,49,0.9933866326424258,0.9933866326424258,55.88843695441995,55.88843695441995,72.61440797228228,56.102915512923865
8,9,20,100,49,1,100,0,150,99.5,49,0.9904403467292,0.9904403467292,56.995655183526836,56.995655183526836,75.59917319059151,57.28399922586486
9,9,20,100,49,1,100,0,150,99.5,49,0.9872821156728446,0.9872821156728446,58.21951066947548,58.21951066947548,78.00085483221791,58.57791381556275
1,10,20,100,49,1,100,0,150,99.5,49,0.17701559276377415,0.17701559276377415,14.935645984493236,14.935645984493236,12.157665459056933,55.139621056823756
2,10,20,100,49,1,100,0,150,99.5,49,0.9995031703746025,0.9995031703746025,55.11871504282145,55.11871504282145,35.848592240854195,55.13966921737673
3,10,20,100,49,1,100,0,150,99.5,49,0.9998901755619105,0.9998901755619105,55.15040387514868,55.15040387514868,50.761548692356264,55.15480785414474
4,10,20,100,49,1,100,0,150,99.5,49,0.9992237141814777,0.9992237141814777,55.270036993022714,55.270036993022714,60.26876802191001,55.29976725973992
5,10,20,100,49,1,100,0,150,99.5,49,0.9976241619732515,0.9976241619732515,55.63624494763655,55.63624494763655,66.76079717550942,55.721846416650216
6,10,20,100,49,1,100,0,150,99.5,49,0.9950978688884103,0.9950978688884103,56.29281076981001,56.29281076981001,71.4521374790554,56.45686574870549
7,10,20,100,49,1,100,0,150,99.5,49,0.9918434256360324,0.9918434256360324,57.20145813982255,57.20145813982255,74.99304957780993,57.45357966196624
8,10,20,100,49,1,100,0,150,99.5,49,0.9880880511364808,0.9880880511364808,58.294449557166836,58.294449557166836,77.75746364225746,58.634663374907234
9,10,20,100,49,1,100,0,150,99.5,49,0.984025205272702,0.984025205272702,59.50515199291863,59.50515199291863,79.97420730692424,59.928577964605125
10,10,20,100,49,1,100,0,150,99.5,49,0.9798023627664024,0.9798023627664024,60.77904930410492,60.77904930410492,81.79069375972307,61.2792421136475
1,11,20,100,49,1,100,0,150,99.5,49,0.2366157775629755,0.2366157775629755,19.133912801025833,19.133912801025833,14.864362802414355,56.50650321521925
2,11,20,100,49,1,100,0,150,99.5,49,0.9999984406232909,0.9999984406232909,56.50648653139144,56.50648653139144,39.43957971208016,56.50655137577223
3,11,20,100,49,1,100,0,150,99.5,49,0.9998863781192391,0.9998863781192391,56.517230758390575,56.517230758390575,54.040675480499125,56.52169001254025
4,11,20,100,49,1,100,0,150,99.5,49,0.99912939486626,0.99912939486626,56.63417081589106,56.63417081589106,63.14159988458924,56.66664941813542
5,11,20,100,49,1,100,0,150,99.5,49,0.9972555045255714,0.9972555045255714,56.99283912378624,56.99283912378624,69.28215799268106,57.08872857504571
