S,G,D,ε,β,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
5,6,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9457612489412739,0.9457612489412739,35.47591815491188,35.47591815491188,58.13369006209494,34.11176953017305
6,6,16,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9505192446699681,0.9505192446699681,36.979398121657475,36.979398121657475,63.71602842298492,35.40878929323955
2,2,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.02506889755028461,0.02506889755028461,2.42940604042206,2.42940604042206,0.010045242572065405,30.000000023283064
1,3,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.02500229757105739,0.02500229757105739,2.2624904774091434,2.2624904774091434,0.00023178200225792978,30.00011589100113
2,3,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.026634520067837578,0.026634520067837578,2.7770780878382686,2.7770780878382686,0.29255001618663234,30.00011590264266
3,3,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.03891312881427732,0.03891312881427732,4.484203642045049,4.484203642045049,2.307380838213424,30.000231782002256
1,4,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.025082233259954696,0.025082233259954696,2.3362568629278884,2.3362568629278884,0.010045242572065405,30.00502262128603
2,4,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.03324169432821604,0.03324169432821604,3.712899489810148,3.712899489810148,1.393983703768309,30.005022632927567
3,4,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.08203966176672067,0.08203966176672067,7.051928245513196,7.051928245513196,6.176835728613705,30.00513851228716
4,4,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.2013477246967695,0.2013477246967695,10.237717313622628,10.237717313622628,12.67887863770003,30.010045242572065
1,5,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.025594793162467374,0.025594793162467374,2.430234330794582,2.430234330794582,0.07922816251426656,30.039614081257135
2,5,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.05113217478698219,0.05113217478698219,5.22299413519141,5.22299413519141,3.43368382029251,30.039614092898667
3,5,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.16884748177767464,0.16884748177767464,9.545093208538884,9.545093208538884,10.99453463986453,30.03972997225826
4,5,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.35665356776609847,0.35665356776609847,13.954668463231195,13.954668463231195,19.371148445850082,30.044636702543166
5,5,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.5698690477334881,0.5698690477334881,19.638347992520057,19.638347992520057,27.08192040014181,30.079228162514266
1,6,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.027153448346250608,0.027153448346250608,2.6189658972641507,2.6189658972641507,0.29255001618663234,30.14627500809332
2,6,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.08900768514479195,0.08900768514479195,6.980972690234918,6.980972690234918,6.176835728613705,30.146275019734848
3,6,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.27843679580510894,0.27843679580510894,12.479241121290588,12.479241121290588,16.05629433511946,30.146390899094445
4,6,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.5272485586986757,0.5272485586986757,18.711553210619876,18.711553210619876,25.617162181562204,30.15129762937935
5,6,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.7581881242145277,0.7581881242145277,25.34790663130721,25.34790663130721,33.795259202357165,30.18588908935045
6,6,32,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8745622263406516,0.8745622263406516,29.027676247934732,29.027676247934732,40.597322779986214,30.292550016186635
2,2,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.6144004262968036,0.6144004262968036,58.53599578698478,58.53599578698478,56.249999999999986,59.999999999999986
1,3,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9272469489912282,0.9272469489912282,56.66003608228213,56.66003608228213,44.44444444444444,57.222222222222214
2,3,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.4999999999998131,0.4999999999998131,69.00173611111235,69.00173611111235,69.44444444444444,69.7222222222222
3,3,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.2403545784126169,0.2403545784126169,78.93568651158836,78.93568651158836,79.01234567901231,79.44444444444444
1,4,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9501308730141796,0.9501308730141796,63.20763449279925,63.20763449279925,56.249999999999986,63.124999999999986
2,4,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.434093917753111,0.434093917753111,75.20269421989791,75.20269421989791,76.56249999999997,75.62499999999999
3,4,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.16155486864158444,0.16155486864158444,84.16367328999708,84.16367328999708,84.02777777777774,85.34722222222221
4,4,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.1065883883117212,0.1065883883117212,88.3018892868391,88.3018892868391,87.89062499999997,91.24999999999999
1,5,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9580603333655134,0.9580603333655134,67.2628820210848,67.2628820210848,64.0,67.0
2,5,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.393023679390961,0.393023679390961,79.22531787281912,79.22531787281912,80.99999999999999,79.49999999999999
3,5,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.13040193125730137,0.13040193125730137,87.3143777483829,87.3143777483829,87.1111111111111,89.22222222222221
4,5,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.08683591953572273,0.08683591953572273,90.7364097392753,90.7364097392753,90.24999999999997,95.12499999999999
5,5,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.07138855947585705,0.07138855947585705,92.72643818966664,92.72643818966664,92.15999999999997,99.0
1,6,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.9620820671721636,0.9620820671721636,70.05798009770996,70.05798009770996,69.44444444444444,69.72222222222221
2,6,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.36544429111961924,0.36544429111961924,82.03014824880223,82.03014824880223,84.02777777777774,82.22222222222221
3,6,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.11438127619920072,0.11438127619920072,89.42497501445611,89.42497501445611,89.1975308641975,91.94444444444444
4,6,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.07688145134106746,0.07688145134106746,92.35451325571005,92.35451325571005,91.84027777777777,97.8472222222222
5,6,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.06358935791003405,0.06358935791003405,94.0431324877288,94.0431324877288,93.44444444444441,101.7222222222222
6,6,2,0.05,2.0,100,35,0,100,0,135,85.0,35,0.056857323942180356,0.056857323942180356,95.15629871793222,95.15629871793222,94.52160493827158,104.44444444444443
2,2,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.6702107809657172,0.6702107809657172,36.65124859927883,36.65124859927883,31.640624999999993,41.24999999999999
1,3,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.3456410455785589,0.3456410455785589,25.129979497966996,25.129979497966996,19.753086419753092,44.87654320987653
2,3,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8748286377897483,0.8748286377897483,48.061035945191136,48.061035945191136,48.2253086419753,48.00154320987654
3,3,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8457027714657871,0.8457027714657871,55.53151533755508,55.53151533755508,62.42950769699739,54.75308641975309
1,4,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.7904615690711818,0.7904615690711818,45.26086388815614,45.26086388815614,31.640624999999993,50.82031249999999
2,4,4,0.05,2.0,100,35,0,100,0,135,85.0,35,0.8934001885254815,0.8934001885254815,54.37472123629132,54.37472123629132,58.618164062499986,53.94531249999999
