S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
1,3,3,100,49,1,100,0,150,99.5,49,64,54.53787842322107,0.8050260843543477
1,3,3,100,49,1,100,0,150,99.5,49,65,55.01779678372644,0.8152270603399838
1,3,3,100,49,1,100,0,150,99.5,49,66,55.45621199341924,0.8245046266896231
1,3,3,100,49,1,100,0,150,99.5,49,67,55.857725535664734,0.832969163248513
1,3,3,100,49,1,100,0,150,99.5,49,68,56.226373796604975,0.8407155822255072
1,3,3,100,49,1,100,0,150,99.5,49,69,56.56569259801613,0.8478256612386059
1,3,3,100,49,1,100,0,150,99.5,49,70,56.878778667431305,0.8543700358200303
1,3,3,100,49,1,100,0,150,99.5,49,71,57.16834590898557,0.8604098870182092
1,3,3,100,49,1,100,0,150,99.5,49,72,57.4367756724497,0.8659983638531126
1,3,3,100,49,1,100,0,150,99.5,49,73,57.68616096687447,0.8711817793041148
1,3,3,100,49,1,100,0,150,99.5,49,74,57.9183449592349,0.8760006150272956
1,3,3,100,49,1,100,0,150,99.5,49,75,58.13495428198581,0.8804903656417783
1,3,3,100,49,1,100,0,150,99.5,49,76,58.33742773583022,0.8846822489927874
1,3,3,100,49,1,100,0,150,99.5,49,77,58.5270409696057,0.8886038046797546
1,3,3,100,49,1,100,0,150,99.5,49,78,58.70492768052234,0.8922793994900079
1,3,3,100,49,1,100,0,150,99.5,49,79,58.872097824079184,0.8957306552400875
1,3,3,100,49,1,100,0,150,99.5,49,80,59.02945326466467,0.8989768118746921
1,3,3,100,49,1,100,0,150,99.5,49,81,59.17780124097803,0.9020350364579823
1,3,3,100,49,1,100,0,150,99.5,49,82,59.317865967922614,0.9049206868551021
1,3,3,100,49,1,100,0,150,99.5,49,83,59.45029864974086,0.9076475373855672
1,3,3,100,49,1,100,0,150,99.5,49,84,59.5756861381514,0.9102279724819032
1,3,3,100,49,1,100,0,150,99.5,49,85,59.6945584338646,0.9126731533604286
1,3,3,100,49,1,100,0,150,99.5,49,86,59.807395199603064,0.9149931618671462
1,3,3,100,49,1,100,0,150,99.5,49,87,59.91463142705169,0.9171971249674435
1,3,3,100,49,1,100,0,150,99.5,49,88,60.01666237841355,0.9192933227765486
1,3,3,100,49,1,100,0,150,99.5,49,89,60.113847904888814,0.9212892825560832
1,3,3,100,49,1,100,0,150,99.5,49,90,60.206516228920314,0.9231918607123633
1,3,3,100,49,1,100,0,150,99.5,49,91,60.294967264012854,0.9250073145094132
1,3,3,100,49,1,100,0,150,99.5,49,92,60.379475534950544,0.9267413649418796
1,3,3,100,49,1,100,0,150,99.5,49,93,60.46029275197896,0.9283992519902917
1,3,3,100,49,1,100,0,150,99.5,49,94,60.53765008470748,0.9299857832953852
1,3,3,100,49,1,100,0,150,99.5,49,95,60.61176017488927,0.9315053771329707
1,3,3,100,49,1,100,0,150,99.5,49,96,60.68281892165562,0.9329621004407415
1,3,3,100,49,1,100,0,150,99.5,49,97,60.75100706805193,0.934359702539137
1,3,3,100,49,1,100,0,150,99.5,49,98,60.816491613711136,0.9357016450963576
1,3,3,100,49,1,100,0,150,99.5,49,99,60.87942707508762,0.9369911288099232
1,3,3,100,49,1,100,0,150,99.5,49,100,60.93995661177024,0.9382311172114277
1,3,3,100,49,1,100,0,150,99.5,49,101,60.9982130349131,0.9394243579453461
2,3,3,100,49,1,100,0,150,99.5,49,1,4.9e-5,1.0e-6
2,3,3,100,49,1,100,0,150,99.5,49,2,57.87038686341563,1.3888883333334623e-6
2,3,3,100,49,1,100,0,150,99.5,49,3,57.87039327736293,1.9290105024019322e-6
2,3,3,100,49,1,100,0,150,99.5,49,4,57.87040218560941,2.679179186069437e-6
2,3,3,100,49,1,100,0,150,99.5,49,5,57.870414558147544,3.7210782150983156e-6
2,3,3,100,49,1,100,0,150,99.5,49,6,57.870431742177345,5.168156495185958e-6
2,3,3,100,49,1,100,0,150,99.5,49,7,57.87045560878715,7.177980293419738e-6
2,3,3,100,49,1,100,0,150,99.5,49,8,57.87048875666682,9.969388450130297e-6
2,3,3,100,49,1,100,0,150,99.5,49,9,57.87053479502302,1.3846317631583801e-5
2,3,3,100,49,1,100,0,150,99.5,49,10,57.87059873647923,1.9230890199481618e-5
2,3,3,100,49,1,100,0,150,99.5,49,11,57.87068754269703,2.6709364262903116e-5
2,3,3,100,49,1,100,0,150,99.5,49,12,57.870810882042285,3.7095942928646855e-5
2,3,3,100,49,1,100,0,150,99.5,49,13,57.8709821816271,5.152137845808141e-5
2,3,3,100,49,1,100,0,150,99.5,49,14,57.87122008795416,7.155599540259778e-5
2,3,3,100,49,1,100,0,150,99.5,49,15,57.87155049457682,9.938048240639231e-5
2,3,3,100,49,1,100,0,150,99.5,49,16,57.872009356340946,0.0001380229609804004
2,3,3,100,49,1,100,0,150,99.5,49,17,57.87264659428867,0.00019168797373709216
2,3,3,100,49,1,100,0,150,99.5,49,18,57.87353151187598,0.0002662128842816238
2,3,3,100,49,1,100,0,150,99.5,49,19,57.87476030350331,0.00036970074767024623
2,3,3,100,49,1,100,0,150,99.5,49,20,57.87646645606311,0.0005133973346239815
2,3,3,100,49,1,100,0,150,99.5,49,21,57.87883514358814,0.0007129054396174089
2,3,3,100,49,1,100,0,150,99.5,49,22,57.88212311981135,0.0009898641385664981
2,3,3,100,49,1,100,0,150,99.5,49,23,57.88668615433396,0.0013742670787296265
2,3,3,100,49,1,100,0,150,99.5,49,24,57.8930167687065,0.00190765538468136
2,3,3,100,49,1,100,0,150,99.5,49,25,57.90179593824228,0.0026475005180517973
2,3,3,100,49,1,100,0,150,99.5,49,26,57.913963541658596,0.003673192425614999
2,3,3,100,49,1,100,0,150,99.5,49,27,57.930813614039444,0.005094166825241695
2,3,3,100,49,1,100,0,150,99.5,49,28,57.954121709982594,0.007060831874043152
