S,D,ε,β,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
4,8,0.05,2.0,0,10,10,0,10,5.0,0,0.9557357058686946,0.9557357058686946,1.3113068575264566,1.3113068575264566,5.967194738332181,1.0011291503906259
4,16,0.05,2.0,0,10,10,0,10,5.0,0,0.9517757704006865,0.9517757704006865,0.35679132014995296,0.35679132014995296,3.5607413045179275,0.10022595757618567
4,32,0.05,2.0,0,10,10,0,10,5.0,0,0.8543672606259354,0.8543672606259354,0.18969188145825788,0.18969188145825788,1.2678878637700028,0.0010045242572065437
4,64,0.05,2.0,0,10,10,0,10,5.0,0,0.5902570836780542,0.5902570836780542,0.04757776562770233,0.04757776562770233,0.16075396350952673,1.0090689839259432e-7
4,2,0.05,2.0,1,10,10,0,11,6.0,1,0.3646366637898263,0.3646366637898263,7.9782241692854265,7.9782241692854265,8.789062499999996,6.625
4,4,0.05,2.0,1,10,10,0,11,6.0,1,0.7807917020250007,0.7807917020250007,4.843888374998851,4.843888374998851,7.724761962890621,4.164062500000001
4,8,0.05,2.0,1,10,10,0,11,6.0,1,0.9356208867026037,0.9356208867026037,2.288321949794616,2.288321949794616,5.967194738332181,2.001129150390626
4,16,0.05,2.0,1,10,10,0,11,6.0,1,0.876489236364109,0.876489236364109,1.257053858685741,1.257053858685741,3.5607413045179275,1.1002259575761855
4,32,0.05,2.0,1,10,10,0,11,6.0,1,0.351089690633649,0.351089690633649,0.5480275342559873,0.5480275342559873,1.2678878637700028,1.0010045242572063
4,64,0.05,2.0,1,10,10,0,11,6.0,1,0.1428639675904159,0.1428639675904159,0.19851451644141266,0.19851451644141266,0.16075396350952673,1.0000001009068984
4,2,0.05,2.0,2,10,10,0,12,7.0,2,0.1573992760169203,0.1573992760169203,8.603306000559128,8.603306000559128,8.789062499999996,7.625
4,4,0.05,2.0,2,10,10,0,12,7.0,2,0.7317446456934023,0.7317446456934023,5.71065415560132,5.71065415560132,7.724761962890621,5.164062500000001
4,8,0.05,2.0,2,10,10,0,12,7.0,2,0.9273385303563402,0.9273385303563402,3.22681928289586,3.22681928289586,5.967194738332181,3.001129150390626
4,16,0.05,2.0,2,10,10,0,12,7.0,2,0.8184738598058333,0.8184738598058333,2.0457972555045503,2.0457972555045503,3.5607413045179275,2.1002259575761855
4,32,0.05,2.0,2,10,10,0,12,7.0,2,0.2205080457267471,0.2205080457267471,0.8172888666811191,0.8172888666811191,1.2678878637700028,2.001004524257206
4,64,0.05,2.0,2,10,10,0,12,7.0,2,0.04348439396539992,0.04348439396539992,0.3034184342589644,0.3034184342589644,0.16075396350952673,2.0000001009068984
4,2,0.05,2.0,3,10,10,0,13,8.0,3,0.10909054007407307,0.10909054007407307,8.782332962989791,8.782332962989791,8.789062499999996,8.625
4,4,0.05,2.0,3,10,10,0,13,8.0,3,0.7049423210934714,0.7049423210934714,6.494607208099541,6.494607208099541,7.724761962890621,6.1640625
4,8,0.05,2.0,3,10,10,0,13,8.0,3,0.9196562917709425,0.9196562917709425,4.162568397254776,4.162568397254776,5.967194738332181,4.001129150390625
4,16,0.05,2.0,3,10,10,0,13,8.0,3,0.8038425170250774,0.8038425170250774,2.8320396698206083,2.8320396698206083,3.5607413045179275,3.100225957576185
4,32,0.05,2.0,3,10,10,0,13,8.0,3,0.20217899695841376,0.20217899695841376,1.0285547522401792,1.0285547522401792,1.2678878637700028,3.0010045242572057
4,64,0.05,2.0,3,10,10,0,13,8.0,3,0.03760249643798705,0.03760249643798705,0.3489697671799311,0.3489697671799311,0.16075396350952673,3.000000100906898
4,2,0.05,2.0,4,10,10,0,14,9.0,4,0.08175634057197392,0.08175634057197392,8.899577942234915,8.899577942234915,8.789062499999996,9.625
4,4,0.05,2.0,4,10,10,0,14,9.0,4,0.5724915359803461,0.5724915359803461,7.389783751423256,7.389783751423256,7.724761962890621,7.1640625
4,8,0.05,2.0,4,10,10,0,14,9.0,4,0.8737772156396979,0.8737772156396979,5.107726118894525,5.107726118894525,5.967194738332181,5.001129150390626
4,16,0.05,2.0,4,10,10,0,14,9.0,4,0.7814325227011036,0.7814325227011036,3.582733452739994,3.582733452739994,3.5607413045179275,4.1002259575761855
