S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
5,27,1,2,10,0,3,2.0,1,19,0.827400957951541,0.8141907485134365
5,27,1,2,10,0,3,2.0,1,20,0.830517540948246,0.8175661605941198
5,27,1,2,10,0,3,2.0,1,21,0.8332998727929326,0.8205741862429978
5,27,1,2,10,0,3,2.0,1,22,0.8357915437949367,0.8232637907209687
5,27,1,2,10,0,3,2.0,1,23,0.8380291538811323,0.8256758683895192
5,27,1,2,10,0,3,2.0,1,24,0.84004365529061,0.8278448429816211
5,27,1,2,10,0,3,2.0,1,25,0.8418613975661239,0.8297999000567217
5,27,1,2,10,0,3,2.0,1,26,0.8435049488057554,0.831565946833719
5,27,1,2,10,0,3,2.0,1,27,0.8449937469746363,0.8331643674097313
5,27,1,2,10,0,3,2.0,1,28,0.8463446208518182,0.8346136226286959
5,27,1,2,10,0,3,2.0,1,29,0.8475722100348737,0.8359297307438741
5,27,1,2,10,0,3,2.0,1,30,0.848689306097539,0.8371266557061574
5,27,1,2,10,0,3,2.0,1,31,0.8497071316510129,0.8382166232150129
5,27,1,2,10,0,3,2.0,1,32,0.8506355701215512,0.8392103797978908
5,27,1,2,10,0,3,2.0,1,33,0.8514833561275588,0.8401174066004351
5,27,1,2,10,0,3,2.0,1,34,0.852258234140453,0.8409460969063357
5,27,1,2,10,0,3,2.0,1,35,0.8529670914488291,0.8417039044068093
5,27,1,2,10,0,3,2.0,1,36,0.8536160701748141,0.8423974677260047
5,27,1,2,10,0,3,2.0,1,37,0.8542106621142355,0.8430327155526716
5,27,1,2,10,0,3,2.0,1,38,0.8547557894151594,0.8436149558386276
5,27,1,2,10,0,3,2.0,1,39,0.8552558735187278,0.8441489518344448
5,27,1,2,10,0,3,2.0,1,40,0.8557148943225135,0.8446389871938128
5,27,1,2,10,0,3,2.0,1,41,0.8561364411602332,0.8450889219542661
5,27,1,2,10,0,3,2.0,1,42,0.8565237569004747,0.8455022408666845
5,27,1,2,10,0,3,2.0,1,43,0.8568797762343849,0.8458820952791078
5,27,1,2,10,0,3,2.0,1,44,0.857207159035274,0.8462313395667946
5,27,1,2,10,0,3,2.0,1,45,0.8575083195220902,0.8465525629285652
5,27,1,2,10,0,3,2.0,1,46,0.8577854518361573,0.8468481172303955
5,27,1,2,10,0,3,2.0,1,47,0.8580405525406641,0.8471201414642283
5,27,1,2,10,0,3,2.0,1,48,0.8582754404705466,0.8473705832976416
5,27,1,2,10,0,3,2.0,1,49,0.8584917742931245,0.8476012181143283
5,27,1,2,10,0,3,2.0,1,50,0.8586910680842614,0.8478136658829565
5,27,1,2,10,0,3,2.0,1,51,0.8588747051787419,0.8480094061403993
5,27,1,2,10,0,3,2.0,1,52,0.8590439505152194,0.8481897913324937
5,27,1,2,10,0,3,2.0,1,53,0.8591999616640468,0.848356058719771
5,27,1,2,10,0,3,2.0,1,54,0.8593437986994638,0.8485093410257454
5,27,1,2,10,0,3,2.0,1,55,0.8594764330550321,0.8486506759802678
5,27,1,2,10,0,3,2.0,1,56,0.8595987554821428,0.8487810148893239
5,27,1,2,10,0,3,2.0,1,57,0.8597115832153114,0.8489012303448203
5,27,1,2,10,0,3,2.0,1,58,0.8598156664342582,0.8490121231727604
5,27,1,2,10,0,3,2.0,1,59,0.8599116941011072,0.8491144287053333
5,27,1,2,10,0,3,2.0,1,60,0.8600002992410792,0.8492088224514823
5,27,1,2,10,0,3,2.0,1,61,0.8600820637265018,0.8492959252311062
5,27,1,2,10,0,3,2.0,1,62,0.8601575226166277,0.8493763078299965
5,27,1,2,10,0,3,2.0,1,63,0.8602271680994299,0.849450495225682
5,27,1,2,10,0,3,2.0,1,64,0.8602914530760788,0.8495189704283633
5,27,1,2,10,0,3,2.0,1,65,0.8603507944240766,0.8495821779759475
5,27,1,2,10,0,3,2.0,1,66,0.8604055759709269,0.8496405271177133
5,27,1,2,10,0,3,2.0,1,67,0.8604561512066171,0.8496943947172141
5,27,1,2,10,0,3,2.0,1,68,0.8605028457600933,0.84974412790164
5,27,1,2,10,0,3,2.0,1,69,0.860545959662168,0.8497900464818829
5,27,1,2,10,0,3,2.0,1,70,0.8605857694148987,0.8498324451649335
5,27,1,2,10,0,3,2.0,1,71,0.860622529885383,0.8498715955779645
5,27,1,2,10,0,3,2.0,1,72,0.8606564760400512,0.8499077481214324
5,27,1,2,10,0,3,2.0,1,73,0.8606878245339028,0.8499411336667522
5,27,1,2,10,0,3,2.0,1,74,0.8607167751676864,0.8499719651125389
5,27,1,2,10,0,3,2.0,1,75,0.8607435122247338,0.8500004388120065
5,27,1,2,10,0,3,2.0,1,76,0.8607682056980178,0.8500267358828874
5,27,1,2,10,0,3,2.0,1,77,0.8607910124169877,0.8500510234101328
5,27,1,2,10,0,3,2.0,1,78,0.8608120770828248,0.8500734555506747
5,27,1,2,10,0,3,2.0,1,79,0.8608315332199596,0.8500941745486593
5,27,1,2,10,0,3,2.0,1,80,0.8608495040509602,0.8501133116687801
5,27,1,2,10,0,3,2.0,1,81,0.8608661033012347,0.8501309880546177
5,27,1,2,10,0,3,2.0,1,82,0.8608814359394455,0.8501473155182991
5,27,1,2,10,0,3,2.0,1,83,0.8608955988589616,0.8501623972671901
5,27,1,2,10,0,3,2.0,1,84,0.8609086815052348,0.8501763285728441
5,27,1,2,10,0,3,2.0,1,85,0.8609207664535339,0.8501891973869562
5,27,1,2,10,0,3,2.0,1,86,0.8609319299411012,0.8502010849086712
5,27,1,2,10,0,3,2.0,1,87,0.8609422423574381,0.8502120661072059
5,27,1,2,10,0,3,2.0,1,88,0.8609517686961033,0.8502222102034085
5,27,1,2,10,0,3,2.0,1,89,0.8609605689711359,0.8502315811135763
5,27,1,2,10,0,3,2.0,1,90,0.8609686986009265,0.850240237858554
5,27,1,2,10,0,3,2.0,1,91,0.8609762087621607,0.8502482349409102
5,27,1,2,10,0,3,2.0,1,92,0.8609831467161982,0.8502556226927206
5,27,1,2,10,0,3,2.0,1,93,0.8609895561100922,0.8502624475963104
5,27,1,2,10,0,3,2.0,1,94,0.8609954772542496,0.8502687525800912
5,27,1,2,10,0,3,2.0,1,95,0.8610009473785741,0.8502745772914592
5,27,1,2,10,0,3,2.0,1,96,0.8610060008687911,0.8502799583485683
5,27,1,2,10,0,3,2.0,1,97,0.8610106694845139,0.8502849295726405
5,27,1,2,10,0,3,2.0,1,98,0.8610149825604649,0.8502895222023237
5,27,1,2,10,0,3,2.0,1,99,0.8610189671921923,0.8502937650915251
5,27,1,2,10,0,3,2.0,1,100,0.8610226484074749,0.850297684891994
5,27,1,2,10,0,3,2.0,1,101,0.8610260493245352,0.8503013062218459
