S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,asymptotic_cost,comp_cost,bespoke_cost
20,2,10,0,100,10,1,5.554012774167068e-11,9.950062504502771,9.950062504502771,9.950062499999996
2,4,10,0,100,10,1,3.199999998272006e-10,3.164062504976796,3.164062504976796,3.164062499999999
3,4,10,0,100,10,1,7.866906446132066e-10,6.242950774633154,6.242950774633154,6.242950769699737
4,4,10,0,100,10,1,2.8404993044336965e-10,7.724761967562896,7.724761967562896,7.724761962890621
5,4,10,0,100,10,1,1.7110911554383773e-10,8.493465604599544,8.493465604599544,8.493465599999993
6,4,10,0,100,10,1,1.2907890366019112e-10,8.93433380467315,8.93433380467315,8.934333800106685
7,4,10,0,100,10,1,1.080268905211899e-10,9.208324801882592,9.208324801882592,9.208324797334717
8,4,10,0,100,10,1,9.558891630822302e-11,9.389496450192041,9.389496450192041,9.38949644565582
9,4,10,0,100,10,1,8.744100937891325e-11,9.515242756699923,9.515242756699923,9.515242752171524
10,4,10,0,100,10,1,8.171531560173258e-11,9.60596010452287,9.60596010452287,9.605960099999995
11,4,10,0,100,10,1,7.748272766563382e-11,9.67349704054785,9.67349704054785,9.673497036029028
12,4,10,0,100,10,1,7.423210625848511e-11,9.72510237259424,9.72510237259424,9.725102368078474
13,4,10,0,100,10,1,7.166019455750436e-11,9.765406105971227,9.765406105971227,9.765406101457831
14,4,10,0,100,10,1,6.957619295978584e-11,9.79747491545164,9.79747491545164,9.797474910940116
15,4,10,0,100,10,1,6.785428770713149e-11,9.82340390415946,9.82340390415946,9.823403899649438
16,4,10,0,100,10,1,6.640827134480923e-11,9.844663149995053,9.844663149995053,9.844663145486262
17,4,10,0,100,10,1,6.517715659023894e-11,9.862308426478604,9.862308426478604,9.862308421970825
18,4,10,0,100,10,1,6.411661658702325e-11,9.877113598456681,9.877113598456681,9.877113593949753
19,4,10,0,100,10,1,6.31936795046691e-11,9.889656232385134,9.889656232385134,9.889656227878923
20,4,10,0,100,10,1,6.2383323445071e-11,9.900374379896224,9.900374379896224,9.900374375390623
2,8,10,0,100,10,1,1.072812990971916e-10,1.0011291553692088,1.0011291553692088,1.0011291503906248
3,8,10,0,100,10,1,0.49068528081461305,2.720844123656728,2.720844123656728,3.8974434312894557
4,8,10,0,100,10,1,0.6106098462622905,4.0384668239280455,4.0384668239280455,5.967194738332181
5,8,10,0,100,10,1,0.451974355506927,6.018984374006636,6.018984374006636,7.2138957898383325
6,8,10,0,100,10,1,0.2317514437956609,7.664144281424397,7.664144281424397,7.982232045172884
7,8,10,0,100,10,1,4.653123556494834e-9,8.479324562554574,8.479324562554574,8.47932455732095
8,8,10,0,100,10,1,4.790212875929378e-10,8.816264354911148,8.816264354911148,8.816264350298331
9,8,10,0,100,10,1,2.700638561525961e-10,9.05398446784703,9.05398446784703,9.053984463275278
10,8,10,0,100,10,1,1.9658127719027738e-10,9.227446948832487,9.227446948832487,9.227446944279198
11,8,10,0,100,10,1,1.5935137406635023e-10,9.357654495148305,9.357654495148305,9.357654490606247
12,8,10,0,100,10,1,1.3695877950298763e-10,9.45776161149492,9.45776161149492,9.457761606960561
13,8,10,0,100,10,1,1.2205343140540934e-10,9.53631563716772,9.53631563716772,9.53631563263899
14,8,10,0,100,10,1,1.1144051323200504e-10,9.599051467574544,9.599051467574544,9.599051463050108
15,8,10,0,100,10,1,1.0351117004899974e-10,9.649926422085857,9.649926422085857,9.649926417564785
16,8,10,0,100,10,1,9.736857591382347e-11,9.691739249327927,9.691739249327927,9.69173924480955
17,8,10,0,100,10,1,9.247401112162475e-11,9.726512745523847,9.726512745523847,9.726512741007674
18,8,10,0,100,10,1,8.848472258958256e-11,9.75573729929306,9.75573729929306,9.755737294778706
19,8,10,0,100,10,1,8.517244959580727e-11,9.780530035075268,9.780530035075268,9.780530030562442
20,8,10,0,100,10,1,8.237941835303226e-11,9.801741281800664,9.801741281800664,9.801741277289134
2,16,10,0,100,10,1,5.5985254079704893e-11,0.10022596257416679,0.10022596257416679,0.10022595757618545
3,16,10,0,100,10,1,5.643590388100445e-10,1.5190065351056365,1.5190065351056365,1.5190065300101339
4,16,10,0,100,10,1,0.7575575905647199,1.235855452411767,1.235855452411767,3.5607413045179275
5,16,10,0,100,10,1,0.8972626188283745,1.6218692894815727,1.6218692894815727,5.204029246664723
